sampleID;Plant;Clostero;Polero;Partiti;PILV;CAMV;Population;Timepoint;Genotype;Leaves;Lenght;Width;Leaf area;Plant area;Herbivory;Virotic;Curly;Yellow
360;S251;0;0;0;0;0;4;2;1;10;14,5;1,1;12,52075;125,2075;1;0;0;0
361;S123;0;0;0;0;0;4;2;2;13;21,6;1,3;22,0428;286,5564;1;1;1;0
362;S195;0;0;1;0;0;4;2;4;14;13,6;1,2;12,8112;179,3568;1;0;0;0
363;S227;0;0;0;0;0;4;2;4;20;14;1,1;12,089;241,78;1;0;0;0
364;S9;0;0;0;0;0;4;2;3;9;9,2;1,3;9,3886;84,4974;1;0;0;0
365;S263;1;0;0;0;0;4;2;1;9;18,4;1,5;21,666;194,994;1;1;1;0
366;S267;0;0;1;0;0;4;2;1;NA;NA;NA;NA;NA;1;0;0;0
367;S301;0;0;0;0;0;4;2;1;8;12,9;0,8;8,1012;64,8096;0;0;0;0
368;S13;0;0;1;0;0;4;2;3;8;13;1,1;11,2255;89,804;1;1;1;1
369;S121;0;0;0;1;1;4;2;2;17;20,2;1,2;19,0284;323,4828;1;0;0;0
370;S72;0;0;0;0;0;4;2;3;12;17,7;1,7;23,62065;283,4478;0;1;0;0
371;S118;1;0;0;0;0;4;2;2;11;15;1;11,775;129,525;1;0;0;0
372;S211;0;0;0;0;0;4;2;4;27;12,9;0,9;9,11385;246,07395;1;0;0;0
373;S30;0;0;0;0;0;4;2;3;16;12,5;1,2;11,775;188,4;1;1;0;1
374;S284;0;0;0;0;0;4;2;1;11;15,2;1,9;22,6708;249,3788;1;0;0;0
375;S280;0;0;0;0;0;4;2;1;13;14,5;0,8;9,106;118,378;1;0;0;0
376;S206;1;0;0;0;0;4;2;4;13;14,5;1,2;13,659;177,567;1;0;0;0
377;S148;1;0;0;1;0;4;2;2;28;22,2;1,2;20,9124;585,5472;1;0;0;0
378;S90;1;0;0;1;1;4;2;2;16;26,4;1,5;31,086;497,376;1;0;0;0
379;S182;0;0;0;0;0;4;2;4;13;14,2;1,3;14,4911;188,3843;1;0;0;0
380;S165;0;0;0;0;0;4;2;4;17;14,7;1,5;17,30925;294,25725;1;0;0;0
381;S62;0;0;0;0;0;4;2;3;21;15,1;1,9;22,52165;472,95465;1;1;0;0
382;S27;0;0;0;0;0;4;2;3;8;17,9;1;14,0515;112,412;1;1;0;1
383;S294;0;0;0;0;0;4;2;1;14;14,5;0,9;10,24425;143,4195;1;0;0;0
384;S259;0;0;0;0;0;4;2;1;15;15,9;1,2;14,9778;224,667;1;0;0;0
385;S285;0;0;0;0;0;4;2;1;NA;NA;NA;NA;NA;1;0;0;0
386;S88;0;0;0;1;0;4;2;2;9;24,5;1,5;28,84875;259,63875;1;0;0;0
387;S191;1;0;0;0;0;4;2;4;14;16,6;1,4;18,2434;255,4076;1;0;0;0
388;S303;0;0;0;0;0;4;2;1;NA;NA;NA;NA;NA;1;0;0;0
389;S279;0;0;0;0;0;4;2;1;26;14,1;1,3;14,38905;374,1153;1;1;0;0
390;S306;0;0;0;0;0;4;2;1;8;14,5;1,2;13,659;109,272;0;0;0;0
391;S10;0;0;0;0;0;4;2;3;9;19;2;29,83;268,47;1;1;0;0
392;S260;0;0;0;0;0;4;2;1;13;12,4;1;9,734;126,542;1;0;0;0
393;S236;0;0;0;0;0;4;2;4;17;12,4;1;9,734;165,478;1;1;0;0
394;S130;1;0;0;0;0;4;2;2;11;23,5;1;18,4475;202,9225;1;0;0;0
395;S201;1;0;0;0;0;4;2;4;NA;NA;NA;NA;NA;0;0;0;0
396;S20;0;0;0;0;0;4;2;3;9;14,7;1,4;16,1553;145,3977;1;1;1;0
397;S59;0;0;0;0;0;4;2;3;NA;NA;NA;NA;NA;1;1;0;0
398;S36;0;0;0;0;0;4;2;3;10;14,6;1,4;16,0454;160,454;1;1;0;0
399;S320;0;0;0;0;0;4;2;1;10;14,4;1,2;13,5648;135,648;1;0;0;0
400;S212;0;0;0;0;0;4;2;4;10;16,3;1,4;17,9137;179,137;1;0;0;0
401;S73;0;0;0;0;0;4;2;3;13;13,4;1,5;15,7785;205,1205;1;0;0;0
402;S297;0;0;0;0;0;4;2;1;NA;NA;NA;NA;NA;1;0;0;0
403;S229;0;0;0;0;0;4;2;4;18;11,1;1,3;11,32755;203,8959;1;1;0;0
404;S51;0;0;0;0;0;4;2;3;10;15,4;1,3;15,7157;157,157;1;1;1;0
405;S28;0;0;0;0;0;1;2;3;15;15,4;1;12,089;181,335;0;1;0;0
406;S47;1;0;0;0;0;1;2;3;9;18,7;1,4;20,5513;184,9617;1;1;0;0
